time,genf_Scheduled Generation [MW] (D) - BZN|FR,ntc_Net Position (MW),total_Day-ahead Total Load Forecast [MW] - BZN|FR,total_Actual Total Load [MW] - BZN|FR,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW],y_Day-ahead Price [EUR/MWh]
2015-01-02 04:00:00,66876.0,,62900.0,60686.0,,,,,,,,,,,,
2015-01-02 05:00:00,67025.0,,63350.0,62060.0,,,,,,,,,,,,
2015-01-02 06:00:00,68594.0,,66200.0,64662.0,,,,,,,,,,,,
2015-01-02 07:00:00,71682.0,,68100.0,66982.0,,,,,,,,,,,,
2015-01-02 08:00:00,75062.0,,70600.0,68828.0,,,,,,,,,,,,
2015-01-02 09:00:00,77726.0,,72600.0,70472.0,,,,,,,,,,,,
2015-01-02 10:00:00,77905.0,,73450.0,71681.0,,,,,,,,,,,,
2015-01-02 11:00:00,78642.0,,73350.0,72248.0,,,,,,,,,,,,
2015-01-02 12:00:00,79431.0,,74000.0,73443.0,,,,,,,,,,,,
2015-01-02 13:00:00,77665.0,,73800.0,71451.0,,,,,,,,,,,,
2015-01-02 14:00:00,75636.0,,71050.0,69123.0,,,,,,,,,,,,
2015-01-02 15:00:00,74130.0,,68200.0,66628.0,,,,,,,,,,,,
2015-01-02 16:00:00,73804.0,,67000.0,66234.0,,,,,,,,,,,,
2015-01-02 17:00:00,76681.0,,70050.0,69985.0,,,,,,,,,,,,
2015-01-02 18:00:00,79722.0,,74100.0,73818.0,,,,,,,,,,,,
2015-01-02 19:00:00,80147.0,,75800.0,73971.0,,,,,,,,,,,,
2015-01-02 20:00:00,77888.0,,73100.0,70938.0,,,,,,,,,,,,
2015-01-02 21:00:00,75526.0,,69600.0,67746.0,,,,,,,,,,,,
2015-01-02 22:00:00,75795.0,,68450.0,68455.0,,,,,,,,,,,,
2015-01-02 23:00:00,75288.0,,70350.0,69539.0,,,,,,,,,,,,
2015-01-03 00:00:00,73177.0,,67550.0,66642.0,,,,,,,,,,,,
2015-01-03 01:00:00,71207.0,,64400.0,64227.0,,,,,,,,,,,,
2015-01-03 02:00:00,69925.0,,63800.0,62716.0,,,,,,,,,,,,
2015-01-03 03:00:00,67426.0,,60600.0,59396.0,,,,,,,,,,,,
2015-01-03 04:00:00,66922.0,,58950.0,57700.0,,,,,,,,,,,,
2015-01-03 05:00:00,67916.0,,59000.0,58131.0,,,,,,,,,,,,
2015-01-03 06:00:00,68857.0,,60000.0,59493.0,,,,,,,,,,,,
2015-01-03 07:00:00,70055.0,,61650.0,60986.0,,,,,,,,,,,,
2015-01-03 08:00:00,71716.0,,63850.0,62703.0,,,,,,,,,,,,
2015-01-03 09:00:00,73926.0,,65550.0,64814.0,,,,,,,,,,,,
2015-01-03 10:00:00,75733.0,,67900.0,66427.0,,,,,,,,,,,,
2015-01-03 11:00:00,76884.0,,68500.0,67027.0,,,,,,,,,,,,
2015-01-03 12:00:00,77819.0,,69700.0,68498.0,,,,,,,,,,,,
2015-01-03 13:00:00,76629.0,,69400.0,66851.0,,,,,,,,,,,,
2015-01-03 14:00:00,73327.0,,65850.0,64325.0,,,,,,,,,,,,
2015-01-03 15:00:00,71595.0,,62800.0,61852.0,,,,,,,,,,,,
2015-01-03 16:00:00,71586.0,,61050.0,60906.0,,,,,,,,,,,,
2015-01-03 17:00:00,75943.0,,63650.0,63367.0,,,,,,,,,,,,
2015-01-03 18:00:00,78141.0,,66950.0,66458.0,,,,,,,,,,,,
2015-01-03 19:00:00,77110.0,,67900.0,66400.0,,,,,,,,,,,,
2015-01-03 20:00:00,74927.0,,65400.0,63519.0,,,,,,,,,,,,
2015-01-03 21:00:00,72787.0,,62400.0,60554.0,,,,,,,,,,,,
2015-01-03 22:00:00,73596.0,,61750.0,61320.0,,,,,,,,,,,,
2015-01-03 23:00:00,72739.0,,65150.0,62725.0,,,,,,,,,,,,
2015-01-04 00:00:00,68171.0,,62300.0,60265.0,,,,,,,,,,,,
2015-01-04 01:00:00,66239.0,,58900.0,57658.0,,,,,,,,,,,,
2015-01-04 02:00:00,65194.0,,57500.0,55874.0,,,,,,,,,,,,
2015-01-04 03:00:00,61963.0,,54050.0,52581.0,,,,,,,,,,,,
2015-01-04 04:00:00,61171.0,,51750.0,50650.0,,,,,,,,,,,,
2015-01-04 05:00:00,61065.0,,51050.0,50570.0,,,,,,,,,,,,
2015-01-04 06:00:00,61788.0,,51800.0,51566.0,,,,,,,,,,,,
2015-01-04 07:00:00,63984.0,,52900.0,52564.0,,,,,,,,,,,,
2015-01-04 08:00:00,65524.0,,54700.0,53872.0,,,,,,,,,,,,
2015-01-04 09:00:00,67974.0,,56300.0,56101.0,,,,,,,,,,,,
2015-01-04 10:00:00,70696.0,,59050.0,58463.0,,,,,,,,,,,,
2015-01-04 11:00:00,72802.0,,60950.0,60123.0,,,,,,,,,,,,
2015-01-04 12:00:00,73382.0,,63550.0,62579.0,,,,,,,,,,,,
2015-01-04 13:00:00,72149.0,,64050.0,60885.0,,,,,,,,,,,,
2015-01-04 14:00:00,69452.0,,60850.0,58183.0,,,,,,,,,,,,
2015-01-04 15:00:00,67822.0,,58450.0,56109.0,,,,,,,,,,,,
2015-01-04 16:00:00,68069.0,,58000.0,55809.0,,,,,,,,,,,,
2015-01-04 17:00:00,73595.0,,60950.0,59859.0,,,,,,,,,,,,
2015-01-04 18:00:00,77695.0,,66450.0,65218.0,,,,,,,,,,,,
2015-01-04 19:00:00,79128.0,,69450.0,66941.0,,,,,,,,,,,,
2015-01-04 20:00:00,77317.0,,68150.0,65231.0,,,,,,,,,,,,
2015-01-04 21:00:00,74900.0,,65300.0,62623.0,,,,,,,,,,,,
2015-01-04 22:00:00,75469.0,,63600.0,63366.0,,,,,,,,,,,,
2015-01-04 23:00:00,75790.0,,66750.0,64730.0,,,,,,,,,,,,
2015-01-05 00:00:00,69634.0,,62900.0,62610.0,,,,,,,,,,,,36.56
2015-01-05 01:00:00,67965.0,,60250.0,61092.0,,,,,,,,,,,,34.94
2015-01-05 02:00:00,67433.0,,59650.0,60219.0,,,,,,,,,,,,32.19
2015-01-05 03:00:00,65739.0,,56500.0,57535.0,,,,,,,,,,,,23.53
2015-01-05 04:00:00,65466.0,,55050.0,56891.0,,,,,,,,,,,,22.92
2015-01-05 05:00:00,67463.0,,56750.0,59823.0,,,,,,,,,,,,34.26
2015-01-05 06:00:00,73889.0,,61800.0,66249.0,,,,,,,,,,,,44.28
2015-01-05 07:00:00,79207.0,,69500.0,73308.0,,,,,,,,,,,,50.38
2015-01-05 08:00:00,80472.0,,73700.0,76107.0,,,,,,,,,,,,53.79
2015-01-05 09:00:00,81362.0,,74400.0,76452.0,,,,,,,,,,,,52.03
2015-01-05 10:00:00,82293.0,,75200.0,76494.0,,,,,,,,,,,,50.6
2015-01-05 11:00:00,82532.0,,75700.0,76683.0,,,,,,,,,,,,50.5
2015-01-05 12:00:00,82101.0,,75950.0,76812.0,,,,,,,,,,,,48.45
2015-01-05 13:00:00,80927.0,,75900.0,75421.0,,,,,,,,,,,,44.54
2015-01-05 14:00:00,79870.0,,74200.0,73763.0,,,,,,,,,,,,42.0
2015-01-05 15:00:00,79554.0,,71550.0,71536.0,,,,,,,,,,,,43.1
2015-01-05 16:00:00,79706.0,,70350.0,71665.0,,,,,,,,,,,,46.7
2015-01-05 17:00:00,83771.0,,73200.0,75440.0,,,,,,,,,,,,56.78
2015-01-05 18:00:00,86212.0,,78050.0,79847.0,,,,,,,,,,,,58.84
2015-01-05 19:00:00,86103.0,,79950.0,80090.0,,,,,,,,,,,,53.6
2015-01-05 20:00:00,82777.0,,76050.0,76262.0,,,,,,,,,,,,46.9
2015-01-05 21:00:00,79455.0,,71850.0,71858.0,,,,,,,,,,,,44.58
2015-01-05 22:00:00,79669.0,,69600.0,71997.0,,,,,,,,,,,,48.7
2015-01-05 23:00:00,79686.0,,72400.0,72673.0,,,,,,,,,,,,46.06
2015-01-06 00:00:00,76108.0,1539.5,70550.0,69935.0,,,,,,,,,,,,45.56
2015-01-06 01:00:00,75171.0,1441.3,67900.0,67795.0,,,,,,,,,,,,40.28
2015-01-06 02:00:00,73847.0,1375.9,67450.0,66811.0,,,,,,,,,,,,39.2
2015-01-06 03:00:00,71930.0,967.7,64850.0,64040.0,,,,,,,,,,,,36.22
2015-01-06 04:00:00,71491.0,1000.5,63650.0,63275.0,,,,,,,,,,,,34.04
2015-01-06 05:00:00,74015.0,1271.6,65300.0,65977.0,,,,,,,,,,,,38.58
2015-01-06 06:00:00,78859.0,1559.7,70200.0,72092.0,,,,,,,,,,,,43.32
2015-01-06 07:00:00,83219.0,2795.1,77800.0,78888.0,,,,,,,,,,,,50.0
2015-01-06 08:00:00,84764.0,2520.1,81500.0,81429.0,,,,,,,,,,,,49.53
2015-01-06 09:00:00,85910.0,643.3,80550.0,81438.0,,,,,,,,,,,,50.87
2015-01-06 10:00:00,85737.0,88.5,80200.0,81086.0,,,,,,,,,,,,50.86
2015-01-06 11:00:00,85335.0,39.5,79600.0,81166.0,,,,,,,,,,,,50.17
2015-01-06 12:00:00,84981.0,612.1,78900.0,80973.0,,,,,,,,,,,,47.97
2015-01-06 13:00:00,83498.0,551.3,78450.0,79304.0,,,,,,,,,,,,45.2
2015-01-06 14:00:00,82293.0,550.3,76500.0,77662.0,,,,,,,,,,,,41.45
2015-01-06 15:00:00,81437.0,208.5,73800.0,75285.0,,,,,,,,,,,,40.08
2015-01-06 16:00:00,81190.0,770.6,73050.0,75028.0,,,,,,,,,,,,43.62
2015-01-06 17:00:00,84616.0,136.9,75350.0,78196.0,,,,,,,,,,,,48.55
2015-01-06 18:00:00,87436.0,1213.9,79900.0,81983.0,,,,,,,,,,,,52.32
2015-01-06 19:00:00,87219.0,1630.7,81000.0,81712.0,,,,,,,,,,,,53.1
2015-01-06 20:00:00,83742.0,2200.6,77300.0,77245.0,,,,,,,,,,,,48.78
2015-01-06 21:00:00,80988.0,2052.3,72800.0,72532.0,,,,,,,,,,,,43.91
2015-01-06 22:00:00,81024.0,1708.2,70600.0,72243.0,,,,,,,,,,,,44.58
2015-01-06 23:00:00,80839.0,1518.3,72450.0,72686.0,,,,,,,,,,,,45.73
2015-01-07 00:00:00,76165.0,1504.9,71550.0,69988.0,,,,,,,,,,,,40.0
2015-01-07 01:00:00,74438.0,1760.3,68450.0,67621.0,,,,,,,,,,,,36.69
2015-01-07 02:00:00,72620.0,1500.5,67750.0,66393.0,,,,,,,,,,,,37.45
2015-01-07 03:00:00,70673.0,1257.1,64750.0,63640.0,,,,,,,,,,,,32.08
2015-01-07 04:00:00,70130.0,1305.9,63600.0,62955.0,,,,,,,,,,,,29.48
2015-01-07 05:00:00,72988.0,2584.8,65450.0,65636.0,,,,,,,,,,,,34.94
2015-01-07 06:00:00,78173.0,3638.4,70450.0,71516.0,,,,,,,,,,,,41.74
2015-01-07 07:00:00,83599.0,3352.7,77350.0,78168.0,,,,,,,,,,,,49.17
2015-01-07 08:00:00,86624.0,2559.8,81100.0,80971.0,,,,,,,,,,,,54.44
2015-01-07 09:00:00,86826.0,2276.4,81450.0,80546.0,,,,,,,,,,,,50.99
2015-01-07 10:00:00,87245.0,1788.9,81400.0,79801.0,,,,,,,,,,,,50.0
2015-01-07 11:00:00,87295.0,1662.9,81000.0,79494.0,,,,,,,,,,,,51.22
2015-01-07 12:00:00,87017.0,1493.0,80550.0,79036.0,,,,,,,,,,,,50.15
2015-01-07 13:00:00,86114.0,1233.8,79600.0,77255.0,,,,,,,,,,,,51.46
2015-01-07 14:00:00,84908.0,605.3,77300.0,75421.0,,,,,,,,,,,,50.88
2015-01-07 15:00:00,83957.0,598.3,74000.0,73262.0,,,,,,,,,,,,48.0
2015-01-07 16:00:00,83148.0,189.8,72750.0,72881.0,,,,,,,,,,,,47.14
2015-01-07 17:00:00,85107.0,977.3,74550.0,75844.0,,,,,,,,,,,,51.07
2015-01-07 18:00:00,87434.0,1670.3,79000.0,79935.0,,,,,,,,,,,,52.46
2015-01-07 19:00:00,86758.0,2189.2,80850.0,79786.0,,,,,,,,,,,,48.78
2015-01-07 20:00:00,83587.0,2098.6,76550.0,75418.0,,,,,,,,,,,,47.45
2015-01-07 21:00:00,81207.0,1514.6,71850.0,71486.0,,,,,,,,,,,,42.02
2015-01-07 22:00:00,81060.0,1018.6,69600.0,70933.0,,,,,,,,,,,,45.57
2015-01-07 23:00:00,81179.0,993.2,72100.0,71301.0,,,,,,,,,,,,45.6
2015-01-08 00:00:00,78463.0,717.4,69500.0,68372.0,,,,,,,,,,,,43.88
2015-01-08 01:00:00,76255.0,675.5,66500.0,65948.0,,,,,,,,,,,,35.65
2015-01-08 02:00:00,75568.0,478.8,65800.0,64676.0,,,,,,,,,,,,35.87
2015-01-08 03:00:00,73355.0,93.0,62650.0,61551.0,,,,,,,,,,,,30.17
2015-01-08 04:00:00,73058.0,488.6,61100.0,60541.0,,,,,,,,,,,,24.54
2015-01-08 05:00:00,73722.0,1440.8,62800.0,62833.0,,,,,,,,,,,,32.0
2015-01-08 06:00:00,80096.0,651.3,67300.0,68782.0,,,,,,,,,,,,40.96
2015-01-08 07:00:00,86057.0,311.3,74750.0,75066.0,,,,,,,,,,,,49.53
2015-01-08 08:00:00,87444.0,680.2,78400.0,76918.0,,,,,,,,,,,,48.07
2015-01-08 09:00:00,87779.0,256.4,77450.0,76633.0,,,,,,,,,,,,48.75
2015-01-08 10:00:00,88310.0,1149.8,76850.0,76121.0,,,,,,,,,,,,49.29
2015-01-08 11:00:00,88717.0,1444.2,76350.0,75885.0,,,,,,,,,,,,49.33
2015-01-08 12:00:00,88528.0,1661.2,76150.0,75521.0,,,,,,,,,,,,48.43
2015-01-08 13:00:00,87605.0,1769.1,75550.0,74111.0,,,,,,,,,,,,47.21
2015-01-08 14:00:00,85790.0,1933.0,74150.0,72261.0,,,,,,,,,,,,43.47
2015-01-08 15:00:00,84280.0,1933.0,71150.0,69961.0,,,,,,,,,,,,38.27
2015-01-08 16:00:00,84058.0,1933.0,70300.0,69326.0,,,,,,,,,,,,41.07
2015-01-08 17:00:00,86535.0,1933.0,72100.0,72487.0,,,,,,,,,,,,47.97
2015-01-08 18:00:00,88028.0,766.8,76050.0,76456.0,,,,,,,,,,,,51.25
2015-01-08 19:00:00,86530.0,231.7,77050.0,76130.0,,,,,,,,,,,,50.31
2015-01-08 20:00:00,83251.0,120.2,73100.0,72022.0,,,,,,,,,,,,47.97
2015-01-08 21:00:00,80558.0,871.1,68500.0,68102.0,,,,,,,,,,,,40.5
2015-01-08 22:00:00,79696.0,358.0,66100.0,67739.0,,,,,,,,,,,,43.8
2015-01-08 23:00:00,79408.0,172.2,67900.0,68350.0,,,,,,,,,,,,44.05
2015-01-09 00:00:00,76714.0,1933.0,65850.0,65154.0,,,,,,,,,,,,32.06
2015-01-09 01:00:00,74746.0,1875.8,62550.0,62599.0,,,,,,,,,,,,29.71
2015-01-09 02:00:00,73761.0,2033.0,61750.0,61202.0,,,,,,,,,,,,28.53
2015-01-09 03:00:00,70492.0,2033.0,58550.0,58297.0,,,,,,,,,,,,23.75
2015-01-09 04:00:00,70449.0,2033.0,57150.0,57456.0,,,,,,,,,,,,16.05
2015-01-09 05:00:00,72630.0,2033.0,58750.0,59721.0,,,,,,,,,,,,21.44
2015-01-09 06:00:00,78033.0,1361.4,63650.0,65282.0,,,,,,,,,,,,31.86
2015-01-09 07:00:00,83480.0,1393.3,71000.0,71761.0,,,,,,,,,,,,44.0
2015-01-09 08:00:00,85462.0,1410.8,74800.0,73703.0,,,,,,,,,,,,45.82
2015-01-09 09:00:00,85576.0,1933.0,74150.0,73166.0,,,,,,,,,,,,45.59
2015-01-09 10:00:00,84904.0,1845.2,73450.0,72714.0,,,,,,,,,,,,42.52
2015-01-09 11:00:00,84736.0,1933.0,72450.0,72744.0,,,,,,,,,,,,41.57
2015-01-09 12:00:00,84031.0,1932.0,71750.0,72416.0,,,,,,,,,,,,41.01
2015-01-09 13:00:00,82441.0,1933.0,70950.0,70571.0,,,,,,,,,,,,39.24
2015-01-09 14:00:00,80197.0,1933.0,68550.0,68876.0,,,,,,,,,,,,36.29
2015-01-09 15:00:00,78663.0,1940.0,65850.0,66440.0,,,,,,,,,,,,29.47
2015-01-09 16:00:00,78648.0,2715.3,64850.0,65461.0,,,,,,,,,,,,30.09
2015-01-09 17:00:00,80135.0,1933.0,66200.0,67732.0,,,,,,,,,,,,35.43
2015-01-09 18:00:00,82709.0,1783.6,70550.0,70981.0,,,,,,,,,,,,41.0
2015-01-09 19:00:00,81971.0,1492.3,70850.0,70210.0,,,,,,,,,,,,38.95
2015-01-09 20:00:00,78774.0,1933.0,67050.0,66407.0,,,,,,,,,,,,32.53
2015-01-09 21:00:00,75375.0,2034.0,62950.0,62795.0,,,,,,,,,,,,26.69
2015-01-09 22:00:00,75364.0,1933.0,60950.0,62659.0,,,,,,,,,,,,26.56
2015-01-09 23:00:00,75674.0,1933.0,63150.0,63158.0,,,,,,,,,,,,25.26
2015-01-10 00:00:00,71189.0,1908.0,60850.0,59547.0,,,,,,,,,,,,19.04
2015-01-10 01:00:00,68925.0,1908.0,57200.0,56291.0,,,,,,,,,,,,15.96
2015-01-10 02:00:00,67158.0,2191.2,56050.0,54245.0,,,,,,,,,,,,13.7
2015-01-10 03:00:00,64733.0,2903.0,52450.0,50938.0,,,,,,,,,,,,11.01
2015-01-10 04:00:00,63992.0,4221.1,50350.0,49098.0,,,,,,,,,,,,9.08
2015-01-10 05:00:00,63668.0,3201.7,50050.0,49638.0,,,,,,,,,,,,9.28
2015-01-10 06:00:00,64187.0,1829.1,51400.0,51583.0,,,,,,,,,,,,11.76
2015-01-10 07:00:00,66563.0,2008.0,53750.0,53904.0,,,,,,,,,,,,15.84
2015-01-10 08:00:00,68833.0,1908.0,56400.0,56206.0,,,,,,,,,,,,16.93
2015-01-10 09:00:00,70251.0,1908.0,58700.0,58333.0,,,,,,,,,,,,18.11
2015-01-10 10:00:00,71357.0,1908.0,60150.0,59211.0,,,,,,,,,,,,19.19
2015-01-10 11:00:00,71791.0,1908.0,60000.0,59680.0,,,,,,,,,,,,19.25
2015-01-10 12:00:00,72867.0,1908.0,61050.0,61037.0,,,,,,,,,,,,20.47
2015-01-10 13:00:00,70967.0,1908.0,61050.0,59249.0,,,,,,,,,,,,18.21
2015-01-10 14:00:00,68755.0,1908.0,58150.0,57089.0,,,,,,,,,,,,16.21
2015-01-10 15:00:00,67781.0,2630.2,55850.0,54898.0,,,,,,,,,,,,11.34
2015-01-10 16:00:00,67259.0,2424.2,54600.0,54261.0,,,,,,,,,,,,14.15
2015-01-10 17:00:00,69514.0,1908.0,56350.0,57088.0,,,,,,,,,,,,18.64
2015-01-10 18:00:00,73385.0,1908.0,61200.0,61258.0,,,,,,,,,,,,24.45
2015-01-10 19:00:00,73495.0,1908.0,62900.0,61822.0,,,,,,,,,,,,27.75
2015-01-10 20:00:00,71029.0,1908.0,60500.0,59239.0,,,,,,,,,,,,24.56
2015-01-10 21:00:00,68754.0,1908.0,57200.0,56662.0,,,,,,,,,,,,18.75
2015-01-10 22:00:00,68817.0,1908.0,56150.0,57995.0,,,,,,,,,,,,25.81
2015-01-10 23:00:00,69817.0,1908.0,59450.0,59958.0,,,,,,,,,,,,27.67
2015-01-11 00:00:00,67515.0,1558.0,58050.0,57532.0,,,,,,,,,,,,26.95
2015-01-11 01:00:00,65642.0,1686.3,55050.0,55027.0,,,,,,,,,,,,24.22
2015-01-11 02:00:00,63405.0,1461.4,53600.0,53280.0,,,,,,,,,,,,27.08
2015-01-11 03:00:00,61088.0,2008.0,50050.0,50077.0,,,,,,,,,,,,20.91
2015-01-11 04:00:00,59513.0,2008.0,47800.0,48428.0,,,,,,,,,,,,13.09
2015-01-11 05:00:00,60804.0,2008.0,47200.0,48573.0,,,,,,,,,,,,16.41
2015-01-11 06:00:00,61986.0,2008.0,48300.0,49878.0,,,,,,,,,,,,18.72
2015-01-11 07:00:00,63244.0,1977.6,49700.0,51389.0,,,,,,,,,,,,17.21
2015-01-11 08:00:00,65040.0,2008.0,51300.0,53244.0,,,,,,,,,,,,21.2
2015-01-11 09:00:00,67390.0,1733.2,53750.0,56230.0,,,,,,,,,,,,25.96
2015-01-11 10:00:00,69857.0,1985.0,56650.0,58231.0,,,,,,,,,,,,28.83
2015-01-11 11:00:00,71922.0,2008.0,58150.0,59119.0,,,,,,,,,,,,30.73
2015-01-11 12:00:00,73001.0,1725.3,60300.0,60773.0,,,,,,,,,,,,31.8
2015-01-11 13:00:00,71173.0,2008.0,60250.0,58385.0,,,,,,,,,,,,30.37
2015-01-11 14:00:00,67978.0,2008.0,56750.0,55346.0,,,,,,,,,,,,23.39
2015-01-11 15:00:00,66665.0,2008.0,54200.0,53007.0,,,,,,,,,,,,12.7
2015-01-11 16:00:00,66129.0,2008.0,53300.0,53030.0,,,,,,,,,,,,18.49
2015-01-11 17:00:00,69024.0,2008.0,55750.0,57251.0,,,,,,,,,,,,25.81
2015-01-11 18:00:00,73961.0,1908.0,62150.0,63378.0,,,,,,,,,,,,35.48
2015-01-11 19:00:00,75775.0,1755.1,65150.0,65166.0,,,,,,,,,,,,42.0
2015-01-11 20:00:00,74560.0,1677.9,63900.0,63533.0,,,,,,,,,,,,36.08
2015-01-11 21:00:00,73221.0,1908.0,61600.0,61562.0,,,,,,,,,,,,31.8
2015-01-11 22:00:00,73885.0,1634.8,60400.0,62218.0,,,,,,,,,,,,33.0
2015-01-11 23:00:00,73989.0,847.9,63400.0,63644.0,,,,,,,,,,,,32.19
2015-01-12 00:00:00,70218.0,314.3,61550.0,61456.0,,,,,,,,,,,,27.59
2015-01-12 01:00:00,68886.0,763.9,59200.0,59409.0,,,,,,,,,,,,26.81
2015-01-12 02:00:00,67747.0,1511.4,58950.0,58433.0,,,,,,,,,,,,25.75
2015-01-12 03:00:00,66056.0,2033.0,56050.0,55887.0,,,,,,,,,,,,17.86
2015-01-12 04:00:00,66434.0,2033.0,54700.0,55323.0,,,,,,,,,,,,15.16
2015-01-12 05:00:00,68716.0,627.4,56650.0,58541.0,,,,,,,,,,,,19.84
2015-01-12 06:00:00,75453.0,600.2,61900.0,65169.0,,,,,,,,,,,,33.98
2015-01-12 07:00:00,80892.0,722.0,69600.0,72038.0,,,,,,,,,,,,45.51
2015-01-12 08:00:00,83370.0,448.7,73200.0,74625.0,,,,,,,,,,,,48.06
2015-01-12 09:00:00,84090.0,1202.5,73100.0,74485.0,,,,,,,,,,,,46.2
2015-01-12 10:00:00,84333.0,1323.2,73150.0,73748.0,,,,,,,,,,,,45.0
2015-01-12 11:00:00,84329.0,1399.9,72850.0,73439.0,,,,,,,,,,,,45.38
2015-01-12 12:00:00,84190.0,1454.9,72650.0,72738.0,,,,,,,,,,,,42.49
2015-01-12 13:00:00,83045.0,1780.7,71750.0,70822.0,,,,,,,,,,,,41.53
2015-01-12 14:00:00,80684.0,1933.0,69950.0,68975.0,,,,,,,,,,,,36.31
2015-01-12 15:00:00,78894.0,1933.0,66950.0,66691.0,,,,,,,,,,,,32.37
2015-01-12 16:00:00,78506.0,1933.0,65900.0,66437.0,,,,,,,,,,,,33.53
2015-01-12 17:00:00,81049.0,1933.0,67850.0,69662.0,,,,,,,,,,,,41.31
2015-01-12 18:00:00,84302.0,1450.5,72600.0,74716.0,,,,,,,,,,,,47.89
2015-01-12 19:00:00,84235.0,990.4,74450.0,74632.0,,,,,,,,,,,,48.42
2015-01-12 20:00:00,80986.0,877.8,70750.0,70547.0,,,,,,,,,,,,41.89
2015-01-12 21:00:00,78689.0,1933.0,66500.0,66342.0,,,,,,,,,,,,35.24
2015-01-12 22:00:00,78525.0,1880.3,64450.0,66480.0,,,,,,,,,,,,37.44
2015-01-12 23:00:00,78139.0,1458.1,66750.0,67178.0,,,,,,,,,,,,35.0
2015-01-13 00:00:00,75353.0,974.2,65100.0,64317.0,,,,,,,,,,,,33.04
2015-01-13 01:00:00,73846.0,1523.3,61900.0,61630.0,,,,,,,,,,,,26.56
2015-01-13 02:00:00,73512.0,1553.2,61100.0,60375.0,,,,,,,,,,,,26.29
2015-01-13 03:00:00,71825.0,2033.0,58450.0,57568.0,,,,,,,,,,,,17.44
2015-01-13 04:00:00,71199.0,2119.7,56850.0,56852.0,,,,,,,,,,,,11.26
2015-01-13 05:00:00,73476.0,2033.0,58200.0,59401.0,,,,,,,,,,,,22.29
